OBJECTID,GPS_YEAR,PROPERTY,HOLES,ACTIVE,ASPECT,LANDUSE,VEG_TYPE,AG_LEASE,YOUNG_EMER,INFLUENCE,DENSITY,STATUS,PDOG_CAT,CATEGORY_L,REMARKS,RELOCATION,Town,Encroaching,Acreage,ShapeSTArea,ShapeSTLength
1,1997,Monarch,57,active,south,agricultural,intro range,yes,no,both,28.928, ,UND,Undetermined, ,,3,,0.31763918,13836.3627929688,534.434101247843
2,1997,Doniphan,2115,active,flat,preserve,intro range,no,yes,outside town,72.657, ,UND,Undetermined, ,,1,,0.17402329,7580.455078125,667.21564695534
3,1997,Doniphan,2115,active,flat,preserve,intro range,no,yes,outside town,72.657, ,UND,Undetermined, ,,1,,0.00126333,55.031005859375,116.228043099595
4,1997,Alexander Dawson,138,active,south,agricultural,intro range,yes,yes,outside town,31.141, ,UND,Undetermined, ,,2,,0.0612833,2669.50073242188,226.67492106068
5,1997,Alexander Dawson,1015,active,flat,agricultural,irrigated grass,yes,yes,no influence,70.864, ,UND,Undetermined, ,,1,,0.37550833,16357.1437988281,1937.49694088917
6,1997,Liley,72,active,west,agricultural,native range,yes,yes,outside town,31.652, ,UND,Undetermined, ,,1,,0.16661047,7257.55200195312,418.194126180333
7,1997,Superior Associates,0,active,flat,agricultural,native range,yes,yes,outside town,0, ,UND,Undetermined, ,,3,,26.74297299,1164923.90283203,6464.07884288933
8,1997,Superior Associates,0,active,flat,agricultural,native range,yes,yes,outside town,0, ,UND,Undetermined, ,,3,,0.39186175,17069.498046875,804.687107842549
9,1997,Rock Creek Farm,147,active,flat,agricultural,native range,yes,no,outside town,56.955, ,UND,Undetermined, ,,2,,0.21251288,9257.060546875,1280.37993889434
10,1997,Superior Associates,34,active,north,agricultural,native range,yes,yes,into town,40.14, ,UND,Undetermined, ,,4,,0.30897286,13458.8576660156,527.092081317243
11,1997,Mayhoffer,94,active,flat,agricultural,native range,yes,yes,no influence,15.165, ,UND,Undetermined, ,,1,,0.04219959,1838.21411132812,426.442204844681
12,1997,Rock Creek Farm,55,active,north,agricultural,native range,yes,yes,into town,17.491, ,UND,Undetermined, ,,3,,0.08229495,3584.76831054688,438.048501469546
13,1997,Rock Creek Farm,351,active,north,agricultural,native range,yes,no,into town,13.081, ,UND,Undetermined, ,,4,,0.99975139,43549.1708984375,3250.70563705979
14,1998,,0,,,,,,,,0,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,0,,20.29038635,883849.23046875,4875.30785501917
15,1997,Rabbit Mountain,132,active,flat,preserve,native range,no,yes,no influence,19.514,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,6.76445962,294659.862548828,2731.62172339267
16,1997,Rabbit Mountain,68,active,west,preserve,native range,no,yes,no influence,41.248,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,2,,1.64856618,71811.5434570312,1122.62872863966
17,1997,Sherwood,0,inactive,flat,preserve,native range,no,no,no influence,0,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,3,,6.90793448,300909.626953125,2593.6038688626
18,1997,Sherwood,102,active,flat,preserve,native range,no,yes,outside town,32.433,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,3.14493693,136993.452636719,1606.0816115209
19,1997,Rabbit Mountain,23,inactive,flat,preserve,native range,no,no,into town,34.984,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,3,,0.65744942,28638.4978027344,783.392002054875
20,1997,Brand,162,active,flat,preserve,native range,no,yes,no influence,9.95,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,2,,16.28143523,709219.319335938,4132.934744187
21,1997,Brand,296,active,flat,preserve,native range,no,yes,outside town,21.18,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,13.97520443,608759.904052734,3817.49219775852
