PropertyName,DateMapped,Initials,ManagementCategory,Acreage,YearMapped,Perimeter,GlobalID,created_user,created_date,last_edited_user,last_edited_date,OBJECTID,ShapeSTArea,ShapeSTLength
JOHNSON TRUST,2008-09-30T00:00:00.000Z,as,NPD,6.81865544,2008,2630.65333232,{5ECBC353-5306-4ED6-863E-4786B9475815},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369763,297019.443115234,2630.65333232235
ALEXANDER DAWSON FOUNDATION (ADF),2008-09-30T00:00:00.000Z,as,MOA,10.89287319,2008,6351.48305987,{3FC9F859-D573-4C77-8833-CC1A13D1C843},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369764,474491.657714844,6351.48305986872
JOHNSON TRUST,2008-09-30T00:00:00.000Z,jeg,NPD,1.70091144,2008,1772.9175097,{14E455DD-C3FD-4E89-860E-5679A6C0C6F8},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369765,74091.4064941406,1772.91750970374
JOHNSON TRUST,2008-09-30T00:00:00.000Z,jeg,NPD,0.00159246,2008,40.72849497,{09D871BC-AA05-49B5-8BAC-69870DCBEB44},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369766,69.36669921875,40.7284949689228
KEYES,2008-10-02T00:00:00.000Z,jeg,NPD,0.00034846,2008,16.30665093,{BFF16D58-D1E7-45FB-8E45-1D53B985B5D1},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369767,15.179443359375,16.3066509298164
KEYES,2008-10-02T00:00:00.000Z,jeg,NPD,3.42939469,2008,2806.56502056,{0714F97B-CAEC-43B6-BFD4-34C531D161CF},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369768,149383.832763672,2806.56502055627
BECKY,2008-10-02T00:00:00.000Z,jeg,NPD,8.36071401,2008,5356.58568543,{5353C9BF-D656-4DFF-B0A7-BD4959A276BE},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369769,364191.247314453,5356.58568543016
KEYES,2008-10-02T00:00:00.000Z,jeg,NPD,8.94105124,2008,3648.65680386,{170D34CA-2D57-452D-ABDA-469D7E614926},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369770,389470.631591797,3648.65680385764
KEYES,2008-10-02T00:00:00.000Z,jeg,NPD,1.34198682,2008,1013.58514418,{AB2409DA-9F0A-4F97-8BCF-34624F86E251},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369771,58456.7131347656,1013.58514417683
LILEY,2008-10-02T00:00:00.000Z,jeg,MOA,19.96283114,2008,8896.951643,{BE88B9BB-B123-4718-BDF4-1E027329A4E8},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369772,869577.443115234,8896.95164299934
PECK,,egb,MOA,18.49058696,2007,5704.54345537,{5ACD3A3B-3DB4-440A-8184-F690C1A71057},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369773,805446.745605469,5704.54345537442
PECK,,egb,NSH,0.37198419,2007,1905.75191857,{813A14F3-0047-4D4C-BEAF-21F2BE0F37F5},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369774,16203.5646972656,1905.75191856816
JOHNSON TRUST,,egb,NPD,1.78140679,2007,2178.0678766,{0175D554-2769-4861-8923-48B8A7AD54A6},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369775,77597.7685546875,2178.06787660191
JOHNSON TRUST,,egb,NPD,0.10170454,2007,272.21484226,{BAF39C01-5050-42A2-95AD-5E7BAC32BD0B},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369776,4430.23193359375,272.214842258549
JOHNSON TRUST,,egb,NPD,0.02410628,2007,141.30262588,{59E8DEA8-971F-46E3-803A-9B58FD94DC00},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369777,1050.0654296875,141.30262588252
LILEY,2008-10-06T00:00:00.000Z,jeg,MOA,0.83308047,2008,1325.81658372,{219CF26D-87A0-419D-8F7A-9F79FFD4A874},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369778,36288.8403320312,1325.81658371567
IBM,2008-10-07T00:00:00.000Z,jeg,NPD,0.0770055,2008,524.37904354,{69916467-9E57-46C0-80A4-3ED1AF23328D},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369779,3354.34643554688,524.379043543095
IBM,2008-10-07T00:00:00.000Z,jeg,NPD,2.26587576,2008,1823.78767092,{E14DA73C-EE2A-43EE-93B7-74FEA4377A8E},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369780,98701.1520996094,1823.78767092193
ALEXANDER DAWSON FOUNDATION (ADF),2008-10-07T00:00:00.000Z,jeg,NPD,0.98397121,2008,1539.48339269,{DC66126E-CE3E-4990-BB8C-1ABB7DFDA55A},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369781,42861.6147460938,1539.48339268927
ALEXANDER DAWSON FOUNDATION (ADF),2008-10-07T00:00:00.000Z,jeg,NPD,2.41108047,2008,2882.76285852,{91241397-B3DC-423C-897D-1E0D45950386},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369782,105026.244628906,2882.76285852072
BURCHFIELD,2008-10-08T00:00:00.000Z,jeg,NPD,1.20718341,2008,1451.71528006,{B00B26FE-ABEF-4AB1-AD33-FFFBE0C9C5E7},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369783,52584.6982421875,1451.71528006296
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,3.09313088,2008,3969.3588032,{3A649F04-5921-49B7-B87C-1DDDCA3F057B},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369784,134736.241455078,3969.35880319695
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.39599752,2008,749.92166362,{B2CFB1FF-956D-460E-A4A0-1415AB35BD5A},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369785,17249.5837402344,749.921663615639
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.06507813,2008,224.17588531,{9EFE18DF-4748-4972-A7C4-7B4158BAA777},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369786,2834.79223632812,224.175885311865
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.08950878,2008,299.0719819,{C1D1F76B-C00C-4D3D-8257-2D61045277B8},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369787,3898.98681640625,299.071981896926
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.10417781,2008,322.8177408,{46685D20-7941-4956-ADC8-42CCC739D359},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369788,4537.96728515625,322.817740802668
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.03275959,2008,269.72782374,{628BCB8B-D15D-4E88-A789-7F623DD99373},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369789,1427.00170898438,269.727823739841
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.23816346,2008,671.0286511,{E0A636E1-F449-4DB8-9B2B-40729EEC486A},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369790,10374.3583984375,671.028651097821
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.69208814,2008,1192.89458215,{C98064A7-0755-48D1-A9DE-083C45B32AC7},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369791,30147.2387695312,1192.89458214599
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.09281808,2008,302.79894512,{6BA74100-0F3F-4DF8-B4B9-20E6B130D73C},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369792,4043.14038085938,302.798945119444
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.04966348,2008,659.78304547,{1ADFA93A-12A9-4116-B5E7-ABD0F2ED6A9A},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369793,2163.33203125,659.783045473121
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,MOA,0.00794371,2008,112.38991149,{89217AE0-767A-4459-B498-05A7B17C4401},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369794,346.026611328125,112.389911494404
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,mg,NPD,0.13382394,2008,805.80009967,{A59DA21E-D6BD-4643-8189-E1641F4E5FA7},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369795,5829.3466796875,805.800099668057
LEYNER,,egb,NPD,1.41975608,2007,1447.94334855,{DF542EE6-713A-4DFD-AA94-2169B01CBF33},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369796,61844.3273925781,1447.94334855148
LEYNER,,eb,NPD,2.88610048,2007,3923.62349669,{EF3D9ECA-5259-4613-8944-2F8146B4B205},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369797,125718.033691406,3923.62349669363
JOHNSON TRUST,2008-10-06T00:00:00.000Z,jeg,MOA,0.34095042,2008,720.85204974,{07F22FD8-B39D-4B42-80FC-EA42625DB3B6},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369798,14851.7409667969,720.852049744874
JOHNSON TRUST,2008-10-06T00:00:00.000Z,jeg,NSH,0.1094866,2008,435.88178864,{366D4FE1-E742-4CEE-B045-AEE2AAC7E6A0},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369799,4769.216796875,435.881788635939
JOHNSON TRUST,2008-10-06T00:00:00.000Z,jeg,NPD,0.00426017,2008,139.33406012,{B4A1697F-14DE-4886-AF7E-BF909CF11091},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369800,185.572021484375,139.334060120948
BREWBAKER,,egb,NPD,0.00027663,2007,26.9564821,{FF8F9CA2-E51D-402D-96B0-A79696559BA0},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369801,12.0498046875,26.9564820993022
BREWBAKER,,egb,NPD,0.13916611,2007,337.65996182,{E268D188-C15D-410B-AC1A-48401C250798},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369802,6062.0517578125,337.659961819594
BREWBAKER,,egb,NPD,0.36823623,2007,698.0917096,{2E23AC3D-9482-48DD-A5FB-706E74DCBA5B},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369803,16040.3061523438,698.091709603553
BREWBAKER,,egb,NPD,0.7136947,2007,893.39615821,{BEF9CB76-08F4-4938-93B0-9BB43E207C8B},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369804,31088.4177246094,893.396158214866
BREWBAKER,,egb,NPD,5.26067467,2007,3183.97139893,{6B7A2A6E-0A64-47EF-A0CA-FCEF6FAA40A8},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369805,229154.070068359,3183.97139893353
BREWBAKER,,egb,NPD,0.3135871,2007,693.31876618,{3550BC95-E8CF-4C48-B79A-FE45984611BC},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369806,13659.7993164062,693.318766184979
ALEXANDER DAWSON FOUNDATION (ADF),2008-10-07T00:00:00.000Z,as lynch,NPD,9.82523528,2008,3641.67183737,{8BD0D533-7B02-41EE-8A54-BF1B06621F9D},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369807,427985.537841797,3641.67183737324
BURCHFIELD,,egb,NPD,1.52731574,2007,2776.52498485,{30086FF6-9A74-46F6-8EDF-90C470BA01A3},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369808,66529.6069335938,2776.52498485057
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,jeg,NPD,0.58481615,2008,925.90717284,{E5855951-28B2-4C16-ADF0-683BD13D1810},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369809,25474.4880371094,925.907172837723
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,jeg,NPD,0.00820413,2008,173.96580689,{43A83DC8-041F-40DF-AB5F-AB300919CC96},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369810,357.370361328125,173.9658068903
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,jeg,MOA,0.00295646,2008,63.06305523,{606DD88F-169C-463F-9C6C-80831B74C115},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369811,128.78271484375,63.0630552286377
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,jeg,NPD,0.06572438,2008,422.59017383,{0828ADEB-3DC0-4465-985D-4A4C40ECAB8B},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369812,2862.94287109375,422.590173829024
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,jeg,NPD,0.01430982,2008,355.51361337,{45778D0E-F7B8-4FBD-9D05-03E9074E1653},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369813,623.333251953125,355.513613368836
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,jeg,NPD,1.38906722,2008,1818.19370498,{AE511114-0545-40C6-9F26-160A00EF9F0F},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369814,60507.5278320312,1818.19370497623
ROCK CREEK FARM,2008-10-13T00:00:00.000Z,jeg,NPD,0.8794909,2008,1781.84614447,{F5D29C6C-D7B4-440A-A752-456D5AD87344},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369815,38310.4719238281,1781.84614446712
ROCK CREEK FARM,2008-10-14T00:00:00.000Z,MG,HCA,0.15134297,2008,452.24705316,{047E312A-689F-433A-AE45-E57CD3053453},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369816,6592.47436523438,452.247053156582
ROCK CREEK FARM,2008-10-14T00:00:00.000Z,MG,NSH,0.00475239,2008,67.7350656,{6F45EF13-283C-435C-AF1E-01B7CA8DFD3F},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369817,207.01318359375,67.7350655987854
ROCK CREEK FARM,2008-10-14T00:00:00.000Z,MG,NPD,0.50228744,2008,761.34997066,{B43FFE14-71AE-46EA-B92A-F66D6C7EBD07},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369818,21879.5534667969,761.349970659805
ROCK CREEK FARM,2008-10-14T00:00:00.000Z,MG,NPD,6.10742089,2008,4195.27588382,{2FF6D175-08B6-4477-A0E9-FF429C8AB989},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369819,266038.188476562,4195.27588382078
ROCK CREEK FARM,2008-10-14T00:00:00.000Z,MG,NPD,0.03260865,2008,224.13134718,{F23B7C86-B165-4AD1-9D71-9B51D88CAE22},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369820,1420.4267578125,224.131347183884
ROCK CREEK FARM,2008-10-14T00:00:00.000Z,MG,NPD,0.10723301,2008,560.55603417,{DCE9B956-86AD-4595-9955-61A9AC89D7C7},PARKSOPENSPACE,2018-07-09T09:48:54.000Z,PARKSOPENSPACE,2018-07-09T09:48:54.000Z,369821,4671.05249023438,560.556034174704
