OBJECTID,FEATURE_TYPE,FEATURE_NAME,BIKE,HORSE,DOG,Trail_Mileage,trail_id,ShapeSTLength
156708,1,AHC Trail,No,No,No,0.5,,2127.79718975798
156709,1,Anne U White Trail,No,Yes,Yes,1.6,,8398.01311166291
156710,1,Blanchard Trail,No,No,Yes,0.25,,964.9348221856
156711,1,Blue Bird Loop,No,Yes,No,1.8,,9510.86312237461
156712,1,Blue Bird Spur,No,No,No,0.18,,963.212366257624
156713,1,Blue Bird Spur,No,Yes,No,0.12,,657.031971978017
156714,1,Bummers Rock Trail,No,Yes,Yes,0.21,,1121.64587043836
156715,1,Button Rock Trail,No,No,No,2,,10660.9236362234
156716,1,DeLonde Trail,No,Yes,No,1.2,,6136.88017499647
156717,1,Dodd Lake Trail,No,No,No,0.1,,541.499567644249
156718,1,Lichen Loop,No,No,No,1.3,,6599.95009523328
156719,1,Nighthawk Trail,No,Yes,No,4.7,,24433.4847143483
156720,1,Shoreline Trail,No,No,Yes,0.17,,870.06583812984
156721,1,Walden Ponds Trail,No,No,No,0.12,,609.047512147731
156722,2,,Yes,Yes,Yes,2.31,,12109.5832529928
156723,2,95th Street,Yes,Yes,Yes,0.95,,5027.05340956916
156724,2,Antelope Trail,Yes,Yes,No,1,,4942.7015746446
156725,2,Anthem Connection,Yes,Yes,Yes,0.19,,997.476023771844
156726,2,Beech Pavilion Access Trail,Yes,Yes,Yes,0.37,,1959.7413740051
156727,2,Benjamin Loop,Yes,Yes,Yes,2.4,,12658.4499709786
156728,2,Betasso Link Trail,Yes,Yes,Yes,1.3,,6848.70003510705
156729,2,Bitterbrush Trail,Yes,Yes,No,3.68,,19315.3971489432
156730,2,Boulder Canyon Trail,Yes,Yes,Yes,1.85,,9751.69215439518
156731,2,Braly Trails,Yes,Yes,Yes,1.26,,6643.60461551104
156732,2,Bummers Rock Connector,Yes,Yes,Yes,0.14,,748.360202323397
156733,2,Canyon Loop Trail,Yes,Yes,Yes,3.3,,16963.3512945949
156734,2,Caribou Ranch Link Trail,Yes,Yes,Yes,0.7,,3612.50467275407
156735,2,Cattail Pond Trail,Yes,Yes,Yes,0.26,,1367.45445759114
156736,2,Coalton Trail,Yes,Yes,Yes,2.9,,15112.5358762297
156737,2,Cougar Trail,Yes,Yes,Yes,0.75,,3974.54310117677
156738,2,Eagle Wind Trail,Yes,Yes,Yes,2.46,,12986.9226878291
156739,2,Eldorado Canyon Trail,Yes,Yes,Yes,0.14,,723.843203725014
156740,2,Fourmile Link Trail,Yes,No,Yes,0.8,,4588.02185582696
156741,2,Gale Trail,Yes,Yes,Yes,0.12,,647.425111806677
156742,2,Harney Lastoka Trail,Yes,No,Yes,1.54,,8147.57242856124
156743,2,Heatherwood-Walden Link Trail,Yes,Yes,Yes,0.73,,3843.9661569052
156744,2,Heatherwood Notch Trail,Yes,Yes,Yes,0.2,,1443.90561044062
156745,2,Hidden Star Trail,Yes,No,Yes,0.37,,1966.08686468838
156746,2,Hidden Star Trail,Yes,Yes,Yes,0.93,,4915.17626410267
156747,2,Indian Mesa Trail,Yes,Yes,Yes,2.2,,11594.6846302543
156748,2,Kinnickinnick Loop,Yes,Yes,Yes,1.1,,6288.32379557693
156749,2,Lagerman Trail,Yes,Yes,Yes,1.6,,8404.74068011085
156750,2,Legend Ridge Trail,Yes,Yes,Yes,1.46,,7697.65219106891
156751,2,Legion Park Trail,Yes,Yes,Yes,0.9,,3915.65281916556
156752,2,Little Thompson Overlook,Yes,Yes,Yes,1.47,,7724.82102548587
156753,2,Loop Link,Yes,Yes,Yes,0.8,,3938.89242562844
156754,2,Marlatt Trails,Yes,Yes,Yes,1.1,,3476.58369378877
156755,2,McIntosh Connector,Yes,No,Yes,0.16,,869.863012462636
156756,2,McIntosh Lake Trail,Yes,No,Yes,0.66,,3481.98008335028
156757,2,Meyers Homestead Trail,Yes,Yes,Yes,2.5,,13769.9513768757
156758,2,Nelson Loop Trail,Yes,Yes,No,2.2,,11699.7823269747
156759,2,Niwot Hills Trail,Yes,Yes,Yes,0.64,,3376.17352362112
156760,2,Niwot Trails,Yes,No,Yes,0.52,,2747.72408119607
156761,2,Niwot Trails,Yes,Yes,Yes,0.48,,2547.40327512871
156762,2,North Rim,Yes,Yes,Yes,0.33,,1766.31131199043
156763,2,North Rim Trail,Yes,Yes,Yes,0.95,,5014.76007280039
156764,2,Open Sky Loop,Yes,Yes,Yes,5.56,,29360.1239485804
156765,2,Overbrook Trail,Yes,Yes,Yes,1.32,,6973.69989460764
156766,2,Overland Trail,Yes,Yes,No,2.42,,12698.0772589242
156767,2,Picture Rock Trail,Yes,Yes,No,5.2,,27444.1895422618
156768,2,Pines to Peaks Trail,Yes,Yes,Yes,1.03,,5397.84935353972
156769,2,Ponderosa Loop,Yes,Yes,No,2.6,,13945.0964546042
156770,2,Somerset Trail,Yes,Yes,Yes,1.14,,6007.5393218964
156771,2,Sugarloaf Mountain,Yes,Yes,Yes,0.26,,1359.80888160461
156772,2,Tungsten Loop,Yes,Yes,Yes,0.8,,4184.89778926071
